locus_tag	ftype	length_bp	gene	EC_number	COG	product
ONHDLDEL_00001	CDS	225				hypothetical protein
ONHDLDEL_00002	CDS	210				hypothetical protein
ONHDLDEL_00003	CDS	1188				hypothetical protein
ONHDLDEL_00004	CDS	192				hypothetical protein
ONHDLDEL_00005	CDS	102				hypothetical protein
ONHDLDEL_00006	CDS	216				hypothetical protein
ONHDLDEL_00007	CDS	813		1.6.5.2		NAD(P)H dehydrogenase (quinone)
ONHDLDEL_00008	CDS	312				hypothetical protein
ONHDLDEL_00009	CDS	303				hypothetical protein
ONHDLDEL_00010	CDS	864				hypothetical protein
ONHDLDEL_00011	CDS	213				hypothetical protein
ONHDLDEL_00012	CDS	537	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
ONHDLDEL_00013	CDS	150				hypothetical protein
ONHDLDEL_00014	CDS	183				hypothetical protein
ONHDLDEL_00015	CDS	288				hypothetical protein
ONHDLDEL_00016	CDS	96				hypothetical protein
ONHDLDEL_00017	CDS	111				hypothetical protein
ONHDLDEL_00018	CDS	144				hypothetical protein
ONHDLDEL_00019	CDS	855				hypothetical protein
ONHDLDEL_00020	CDS	138				hypothetical protein
ONHDLDEL_00021	CDS	294				hypothetical protein
ONHDLDEL_00022	CDS	468				hypothetical protein
ONHDLDEL_00023	CDS	225				hypothetical protein
ONHDLDEL_00024	CDS	339				hypothetical protein
ONHDLDEL_00025	CDS	315				hypothetical protein
ONHDLDEL_00026	CDS	660				hypothetical protein
ONHDLDEL_00027	CDS	195				hypothetical protein
ONHDLDEL_00028	CDS	279				hypothetical protein
ONHDLDEL_00029	CDS	231				hypothetical protein
ONHDLDEL_00030	CDS	171				hypothetical protein
ONHDLDEL_00031	CDS	450				hypothetical protein
ONHDLDEL_00032	CDS	1524				hypothetical protein
ONHDLDEL_00033	CDS	93				hypothetical protein
ONHDLDEL_00034	CDS	1905				hypothetical protein
ONHDLDEL_00035	CDS	294				hypothetical protein
ONHDLDEL_00036	CDS	1107		2.4.1.11	COG0438	Glycogen synthase
ONHDLDEL_00037	CDS	732	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
ONHDLDEL_00038	tRNA	78				tRNA-Arg(ccg)
ONHDLDEL_00039	CDS	738				hypothetical protein
ONHDLDEL_00040	CDS	813				hypothetical protein
ONHDLDEL_00041	CDS	519				hypothetical protein
ONHDLDEL_00042	CDS	999	ccpA_1		COG1609	Catabolite control protein A
ONHDLDEL_00043	CDS	1134				hypothetical protein
ONHDLDEL_00044	CDS	774				hypothetical protein
ONHDLDEL_00045	CDS	114				hypothetical protein
ONHDLDEL_00046	CDS	129				hypothetical protein
ONHDLDEL_00047	CDS	144				hypothetical protein
ONHDLDEL_00048	CDS	525				hypothetical protein
ONHDLDEL_00049	CDS	141				hypothetical protein
ONHDLDEL_00050	CDS	288				hypothetical protein
ONHDLDEL_00051	CDS	309	lacF_1			Lactose transport system permease protein LacF
ONHDLDEL_00052	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
ONHDLDEL_00053	CDS	540	nanK_1	2.7.1.60		N-acetylmannosamine kinase
ONHDLDEL_00054	CDS	102				hypothetical protein
ONHDLDEL_00055	CDS	558	nanE	5.1.3.9		Putative N-acetylmannosamine-6-phosphate 2-epimerase
ONHDLDEL_00056	CDS	789				hypothetical protein
ONHDLDEL_00057	CDS	231				hypothetical protein
ONHDLDEL_00058	CDS	189				hypothetical protein
ONHDLDEL_00059	CDS	522				hypothetical protein
ONHDLDEL_00060	CDS	204				hypothetical protein
ONHDLDEL_00061	CDS	810				hypothetical protein
ONHDLDEL_00062	CDS	816	polA_1	2.7.7.7		DNA polymerase I, thermostable
