locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPPBIMDH_00001	CDS	1494	yhdG		COG0531	putative amino acid permease YhdG
OPPBIMDH_00002	CDS	1665				hypothetical protein
OPPBIMDH_00003	CDS	1206				IS110 family transposase ISSer1
OPPBIMDH_00004	CDS	426	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
OPPBIMDH_00005	CDS	1032				hypothetical protein
OPPBIMDH_00006	CDS	648	yiiM		COG2258	Protein YiiM
OPPBIMDH_00007	CDS	2931	dnaK_1			Chaperone protein DnaK
OPPBIMDH_00008	CDS	2124				hypothetical protein
OPPBIMDH_00009	CDS	1881	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
OPPBIMDH_00010	CDS	480				hypothetical protein
OPPBIMDH_00011	CDS	540				hypothetical protein
OPPBIMDH_00012	CDS	1257	eis_1	2.3.1.-	COG4552	N-acetyltransferase Eis
OPPBIMDH_00013	CDS	402				hypothetical protein
OPPBIMDH_00014	CDS	471	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
OPPBIMDH_00015	CDS	1200				hypothetical protein
OPPBIMDH_00016	CDS	540				hypothetical protein
OPPBIMDH_00017	CDS	330				hypothetical protein
OPPBIMDH_00018	CDS	624				Thioredoxin-like reductase
OPPBIMDH_00019	CDS	2556	pepN_1	3.4.11.2		Aminopeptidase N
OPPBIMDH_00020	CDS	432				hypothetical protein
OPPBIMDH_00021	CDS	282				hypothetical protein
OPPBIMDH_00022	CDS	1473	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
OPPBIMDH_00023	CDS	933		3.1.1.101		Poly(ethylene terephthalate) hydrolase
OPPBIMDH_00024	CDS	996				hypothetical protein
OPPBIMDH_00025	CDS	525	nbaC	1.13.11.6		3-hydroxyanthranilate 3,4-dioxygenase
OPPBIMDH_00026	CDS	426	amnD	3.5.99.5		2-aminomuconate deaminase
OPPBIMDH_00027	CDS	774	amnE	4.1.1.77		4-oxalocrotonate decarboxylase
OPPBIMDH_00028	CDS	1059	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
OPPBIMDH_00029	CDS	936	dmpF	1.2.1.10		Acetaldehyde dehydrogenase
OPPBIMDH_00030	CDS	798	amnF	4.2.1.80		2-oxopent-4-enoate hydratase
OPPBIMDH_00031	CDS	1506	amnC	1.2.1.32		2-aminomuconic 6-semialdehyde dehydrogenase
OPPBIMDH_00032	CDS	1338	kmo	1.14.13.9		Kynurenine 3-monooxygenase
OPPBIMDH_00033	CDS	1281	kynU	3.7.1.3		Kynureninase
OPPBIMDH_00034	CDS	879	kynA	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
