qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OPPBIMDH_03602,BCK51645.1,96.725,794,26,0,28,821,3917,4710,0.0,1472.0
OPPBIMDH_03603,BCK51646.1,94.572,958,51,1,1,958,1,957,0.0,1673.0
OPPBIMDH_03604,BCK51646.1,97.845,2645,55,1,1,2645,1005,3647,0.0,5048.0
OPPBIMDH_03605,BCK51647.1,97.596,1664,40,0,1,1664,1,1664,0.0,3213.0
OPPBIMDH_03606,BCK51648.1,98.736,3165,39,1,1,3164,1,3165,0.0,6080.0
OPPBIMDH_03607,BCK51649.1,96.99,1827,47,2,1,1827,1,1819,0.0,3424.0
OPPBIMDH_03608,BCK51650.1,99.143,350,3,0,1,350,1,350,0.0,696.0
OPPBIMDH_03609,BCK51651.1,99.612,258,1,0,22,279,2,259,0.0,505.0
OPPBIMDH_03610,BCK51652.1,98.085,940,18,0,1,940,1,940,0.0,1805.0
OPPBIMDH_03611,BCK51653.1,98.002,951,19,0,1,951,2,952,0.0,1820.0
OPPBIMDH_03612,BCK51655.1,97.817,458,9,1,1,458,1,457,0.0,852.0
OPPBIMDH_03613,BCK51656.1,86.667,165,2,1,1,165,1,145,1.36e-97,272.0
OPPBIMDH_03614,BCK51657.1,97.38,229,6,0,1,229,1,229,6.020000000000001e-161,438.0
OPPBIMDH_03615,BCK51658.1,98.507,469,7,0,1,469,1,469,0.0,885.0
OPPBIMDH_03616,BCK51659.1,97.285,221,6,0,1,221,1,221,1.73e-149,408.0
OPPBIMDH_03617,BCK51660.1,100.0,313,0,0,1,313,1,313,0.0,622.0
OPPBIMDH_03618,BCK51661.1,99.184,245,2,0,1,245,1,245,3.41e-169,460.0
OPPBIMDH_03619,BCK51662.1,96.25,80,3,0,1,80,1,80,3.9299999999999995e-54,156.0
OPPBIMDH_03620,BCK51663.1,97.619,126,3,0,1,126,1,126,1.5099999999999998e-89,249.0
